dataset,sample_size,seed,iteration,split,method,accuracy,macro_f1,delta_vs_vanilla,delta_vs_random_aug,per_class_accuracy_delta,result_file
sst2,8,2,,,vanilla,71.11477210323997,70.88146669131095,0.0,-0.6589785831960455,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-2/vanilla.json
sst2,8,3,,,error_driven,53.65183964854475,43.464512939431565,-15.156507413509075,-14.332784184513997,"{""0"": -55.70175438596491, ""1"": 25.52255225522552}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-3/error_driven.json
sst2,8,3,,,random_aug,67.98462383305875,67.43770981291857,-0.8237232289950782,0.0,"{""0"": -11.951754385964911, ""1"": 10.341034103410337}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-3/random_aug.json
sst2,8,3,,,vanilla,68.80834706205383,68.79810024398543,0.0,0.8237232289950782,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-3/vanilla.json
sst2,8,4,,,error_driven,61.998901702361344,59.49212300760697,-5.381658429434374,-9.610104338275669,"{""0"": -28.289473684210535, ""1"": 17.601760176017592}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-4/error_driven.json
sst2,8,4,,,random_aug,71.60900604063701,71.1568456065565,4.2284459088412945,0.0,"{""0"": 18.640350877192972, ""1"": -10.231023102310239}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-4/random_aug.json
sst2,8,4,,,vanilla,67.38056013179572,67.36850552187512,0.0,-4.2284459088412945,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-4/vanilla.json
sst2,8,5,,,error_driven,60.18671059857221,58.31366463059413,0.49423393739703414,-3.2399780340472333,"{""0"": 5.921052631578945, ""1"": -4.950495049504951}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-5/error_driven.json
sst2,8,5,,,random_aug,63.426688632619445,62.52150835364678,3.7342119714442674,0.0,"{""0"": 3.5087719298245617, ""1"": 3.960396039603957}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-5/random_aug.json
sst2,8,5,,,vanilla,59.69247666117518,58.66575212328276,0.0,-3.7342119714442674,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-5/vanilla.json
sst2,8,6,,,error_driven,60.79077429983526,60.0065333421921,3.1301482701812233,-5.93080724876441,"{""0"": 1.973684210526315, ""1"": 4.290429042904293}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-6/error_driven.json
sst2,8,6,,,random_aug,66.72158154859967,66.47871699287002,9.060955518945633,0.0,"{""0"": 2.4122807017543835, ""1"": 15.73157315731573}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-6/random_aug.json
sst2,8,6,,,vanilla,57.66062602965404,56.66513882522884,0.0,-9.060955518945633,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-6/vanilla.json
sst2,8,7,,,error_driven,62.16364634816035,61.869275273435996,1.427786930258101,-2.361339923119168,"{""0"": -8.223684210526315, ""1"": 11.111111111111114}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-7/error_driven.json
sst2,8,7,,,random_aug,64.52498627127952,64.44752443170005,3.789126853377269,0.0,"{""0"": 7.565789473684205, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-7/random_aug.json
sst2,8,7,,,vanilla,60.73585941790225,60.73282797286315,0.0,-3.789126853377269,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-7/vanilla.json
sst2,8,8,,,error_driven,58.48434925864909,55.2863516248808,-8.95112575507963,-10.269082921471721,"{""0"": -50.98684210526315, ""1"": 33.223322332233224}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-8/error_driven.json
sst2,8,8,,,random_aug,68.75343218012081,66.6236530183695,1.317957166392091,0.0,"{""0"": 11.184210526315795, ""1"": -8.580858085808579}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-8/random_aug.json
sst2,8,8,,,vanilla,67.43547501372872,66.64691977893781,0.0,-1.317957166392091,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-8/vanilla.json
sst2,8,9,,,error_driven,66.66666666666666,66.17293637826187,1.0433827567270697,2.2515101592531437,"{""0"": 22.039473684210527, ""1"": -20.02200220022003}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-9/error_driven.json
sst2,8,9,,,random_aug,64.41515650741351,62.44586512683028,-1.208127402526074,0.0,"{""0"": -15.131578947368418, ""1"": 12.76127612761276}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-9/random_aug.json
sst2,8,9,,,vanilla,65.62328390993959,65.3456238569594,0.0,1.208127402526074,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-9/vanilla.json
sst2,16,0,,,error_driven,64.74464579901154,64.71245535789745,-1.427786930258094,-0.9335529928610669,"{""0"": -3.399122807017548, ""1"": 0.5500550055005462}",/tmp/cloud3_results_k5bbj9te/sst2/16-shot/seed-0/error_driven.json
sst2,16,0,,,random_aug,65.6781987918726,65.31634691424053,-0.49423393739702703,0.0,"{""0"": -15.679824561403514, ""1"": 14.741474147414728}",/tmp/cloud3_results_k5bbj9te/sst2/16-shot/seed-0/random_aug.json
